state,capital,area,population
Alabama,Montgomery,159.8,198525
Alaska,Juneau,2716.7,32113
Arizona,Phoenix,517.6,1680992
Arkansas,Little Rock,116.2,197312
California,Sacramento,97.9,513624
Colorado,Denver,153.3,727211
Connecticut,Hartford,17.3,122105
Delaware,Dover,22.4,38079
Florida,Tallahassee,95.7,194500
Georgia,Atlanta,133.5,506811
Hawaii,Honolulu,68.4,345064
Idaho,Boise,63.8,228959
Illinois,Springfield,54,114230
Indiana,Indianapolis,361.5,876384
Iowa,Des Moines,75.8,214237
Kansas,Topeka,56,125310
Kentucky,Frankfort,14.7,27679
Louisiana,Baton Rouge,76.8,220236
Maine,Augusta,55.4,18681
Maryland,Annapolis,6.73,39174
Massachusetts,Boston,89.6,692600
Michigan,Lansing,35,118210
Minnesota,Saint Paul,52.8,308096
Mississippi,Jackson,104.9,160628
Missouri,Jefferson City,27.3,42838
Montana,Helena,14,32315
Nebraska,Lincoln,74.6,289102
Nevada,Carson City,143.4,55916
New Hampshire,Concord,64.3,43627
New Jersey,Trenton,7.66,83203
New Mexico,Santa Fe,37.3,84683
New York,Albany,21.4,96460
North Carolina,Raleigh,114.6,474069
North Dakota,Bismarck,26.9,73529
Ohio,Columbus,210.3,898553
Oklahoma,Oklahoma City,620.3,655057
Oregon,Salem,45.7,174365
Pennsylvania,Harrisburg,8.11,49528
Rhode Island,Providence,18.5,179883
South Carolina,Columbia,125.2,131674
South Dakota,Pierre,13,13646
Tennessee,Nashville,525.9,670820
Texas,Austin,305.1,978908
Utah,Salt Lake City,109.1,200567
Vermont,Montpelier,10.2,7855
Virginia,Richmond,60.1,230436
Washington,Olympia,16.7,46478
West Virginia,Charleston,31.6,46536
Wisconsin,Madison,68.7,259680
Wyoming,Cheyenne,21.1,64235
