state_terr,population,area
New Jersey,8899339,7354
Rhode Island,1051511,1034
Massachusetts,6692824,7800
Connecticut,3596080,4842
Maryland,5928814,9707
Delaware,925749,1949
New York,19651127,47126
Florida,19552860,53625
Pennsylvania,12773801,44743
Ohio,11570808,40861
California,38332521,155779
Illinois,12882135,55519
Hawaii,1404054,6423
Virginia,8260405,39490
North Carolina,9848060,48618
Indiana,6570902,35826
Michigan,9895622,56539
Georgia,9992167,57513
South Carolina,4774839,30061
Tennessee,6495978,41235
New Hampshire,1323459,8953
Kentucky,4395295,39486
Louisiana,4625470,43204
Wisconsin,5742713,54158
Washington,6971406,66456
Texas,26448193,261232
Alabama,4833722,50645
Missouri,6044171,68742
West Virginia,1854304,24038
Minnesota,5420380,79627
Vermont,626630,9217
Mississippi,2991207,46923
Arizona,6626624,113594
Arkansas,2959373,52035
Oklahoma,3850568,68595
Iowa,3090416,55857
Colorado,5268367,103642
Maine,1328302,30843
Oregon,3930065,95988
Kansas,2893957,81759
Utah,2900872,82170
Nevada,2790136,109781
Nebraska,1868516,76824
Idaho,1612136,82643
New Mexico,2085287,121298
South Dakota,844877,75811
North Dakota,723393,69001
Montana,1015165,145546
Wyoming,582658,97093
Alaska,735132,570641
District of Columbia,646449,61
Puerto Rico,3615086,3424
U.S. Virgin Is.,106405,134
Guam,159358,210
American Samoa,55519,76
N. Mariana Is.,53883,182
